title,url,Politifact,Politifact FB,Snopes,Snopes FB,Factcheck,Factcheck FB,ABC,ABC FB
No more child support after 2017!!!!!!,http://www.react365.com/59c06b7b050bf/no-more-child-support-after-2017.html,,,https://www.snopes.com/no-child-support-2017/,811.0,,,,
Ex-Army Sniper Takes Out Neighbor’s Home Intruder From Bedroom Window,http://theseattletribune.com/ex-army-sniper-takes-out-neighbors-home-intruder-from-bedroom-window/,,,https://www.snopes.com/army-sniper-shoot-intruders/,341.0,,,,
Newport Introduces “Marijuana Cigarettes” That will Go On Sale Worldwide Next Year,http://viralactions.com/newport-introduces-marijuana-cigarettes-that-will-go-on-sale-worldwide-next-year/,,,,,,,,
Death row inmate eats an entire Bible as his last meal,http://worldnewsdailyreport.com/death-row-inmate-eats-an-entire-bible-as-his-last-meal/,,,https://www.snopes.com/inmate-bible-last-meal/,,,,,
17-year-old teenager sues his parents for being born white,http://worldnewsdailyreport.com/17-year-old-teenager-sues-his-parents-for-being-born-white/,,,,,,,,
Sharks spotted in mississippi River near Davenport has been confirmed as Great white shark,http://www.breakingnews365.net/58de9ba5bc7ce/sharks-spotted-in-mississippi-river-near-davenport-has-been-confirmed-as-great-white-shark.html,,,,,,,,
Retired MI5 Agent Confesses On Deathbed: 'I Killed Princess Diana',http://yournewswire.com/mi5-agent-killed-princess-diana/,,,https://www.snopes.com/retired-mi5-agent-confesses-on-deathbed-i-killed-princess-diana/,4511.0,,,,
Vuelve el Servicio militar obligatorio para menores de 25 años,http://www.12minutos.com/58cc35a723182/vuelve-el-servicio-militar-obligatorio-para-menores-de-25-anos.html,,,,,,,,
Woman rolls over hairdresser with her car after he “ruined” her hair,http://worldnewsdailyreport.com/woman-rolls-over-hairdresser-with-her-car-after-he-ruined-her-hair/,,,,,,,,
Texas Church Shooter Was Antifa Member Who Vowed To Start Civil War,http://yournewswire.com/texas-church-shooter-antifa/,http://www.politifact.com/punditfact/statements/2017/nov/06/yournewswirecom/fake-news-no-proof-antifa-communism-compelled-texa/,1610.0,https://www.snopes.com/texas-church-shooter-antifa/,49480.0,http://www.factcheck.org/2017/11/texas-shooting-unrelated-antifa/,1832.0,,
Servicio militar OBLIGATORIO para jóvenes de 18 que no trabajen ni estudien,http://www.noticias-frescas.com/59f3eaac43e11/servicio-militar-obligatorio-para-jovenes-de-18-que-no-trabajen-ni-estudien.html,,,,,,,,
GM just Announced that they will be bringing the Square Body back in 2018 - Channel 45 News,https://channel45news.com/2017/05/gm-just-announced-that-they-will-be-bringing-the-square-body-back-in-2018/,,,,,,,,
Beyoncé welcomes 2 baby boys with husband Jay-Z. - Channel 28 News,https://channel28news.com/2017/05/beyonce-welcomes-2-baby-boys-with-husband-jay-z/,,,,,,,,
Hospital employee arrested for impregnating 26 women in coma,http://worldnewsdailyreport.com/hospital-employee-arrested-for-impregnating-26-women-in-coma/,,,,,,,,
JUST IN: Sharia Law Finally Banned In All 50 States. Do You Support This?,http://www.redcountry.us/just-in-sharia-law-finally-banned-in-all-50-states-do-you-support-this/,,,,,,,http://abcnews.go.com/Politics/us-house-vote-block-sharia-law/story?id=46578307,2200.0
Kapernick signs 2 year 5.7 million dollar deal with the Jaguars - Channel 24 News,https://channel24news.com/2017/08/kapernick-signs-2-year-5-7-million-dollar-deal-with-the-jaguars/,,,,,,,,
"Racist Boy Dies for 5 Minutes, Comes Back & Says Jesus is a N***",http://www.celebtricity.com/christian-racist-teen-dies-for-5-minutes-comes-back-says-jesus-is-a-nger/2/,,,,,,,,
Man accused of ejaculating in his boss’ coffee everyday for 4 years,http://worldnewsdailyreport.com/man-accused-of-ejaculating-in-his-boss-coffee-everyday-for-4-years/,,,https://www.snopes.com/man-ejaculating-boss-coffee/,183.0,,,,
Tainted buffet at Jacksonville strip club blamed after severe diarrhea incident on stage,http://www.borderherald.com/tainted-buffet-jacksonville-strip-club-blamed-severe-diarrhea-incident-stage/,,,https://www.snopes.com/tainted-buffet-cause-severe-diarrhea-strip-club/,367.0,,,,
L'Islande vous paye 4500 euros/mois pour vous marier avec une islandaise,http://www.actualite.co/122819/l-islande-vous-paye-4500-euros-mois-pour-vous-marier-avec-une-islandaise.html,,,,,,,,
BREAKING: Charles Manson Dies in California Hospital,http://empirenews.net/breaking-charles-manson-dies-in-california-hospital/,,,,,,,,
"Plane accidentally empties toilet tank over cruise ship, 23 injured",http://worldnewsdailyreport.com/plane-accidentally-empties-toilet-tank-over-cruise-ship-23-injured/,,,https://www.snopes.com/plane-toilet-cruise-ship/,1100.0,,,,
